song,method,seed,run,attempt,f1,final_eval_reward,average_eval_reward,best_f1_so_far,prompt_tokens,completion_tokens,total_tokens,cumulative_total_tokens
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,1,0.02898550724637681,398.0188263654709,395.1316286802292,0.02898550724637681,289004.0,147446.0,436450.0,436450.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,2,0.18840579710144925,411.00800347328186,395.1316286802292,0.18840579710144925,1464960.0,136946.0,1601906.0,2038356.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,3,0.12422360248447205,373.599090218544,395.1316286802292,0.18840579710144925,1026118.0,53355.0,1079473.0,3117829.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,4,0.2484472049689441,406.73869156837463,395.1316286802292,0.2484472049689441,787994.0,35558.0,823552.0,3941381.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,5,0.2608695652173913,423.1708891391754,395.1316286802292,0.2608695652173913,866458.0,37383.0,903841.0,4845222.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,6,0.037267080745341616,360.6841788291931,395.1316286802292,0.2608695652173913,945829.0,26184.0,972013.0,5817235.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,7,0.024844720496894408,371.1684241294861,395.1316286802292,0.2608695652173913,1005852.0,22254.0,1028106.0,6845341.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,8,0.13043478260869565,394.964528799057,395.1316286802292,0.2608695652173913,1055249.0,21159.0,1076408.0,7921749.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,9,0.14906832298136646,405.22864270210266,395.1316286802292,0.2608695652173913,1102517.0,16412.0,1118929.0,9040678.0
TwinkleTwinkleLittleStar,DeepSeek-V4.1-Flash,0,deepseek_twinkletwinklelittlestar_2hand_TwoHand_seed0,10,0.18219461697722567,406.7350115776062,395.1316286802292,0.2608695652173913,568728.0,12207.0,580935.0,9621613.0
TwinkleTwinkleLittleStar,GPT-6 Astra,0,openai_twinkletwinklelittlestar_2hand_TwoHand_seed0,1,0.037267080745341616,434.79208528995514,509.77494209342535,0.037267080745341616,80795.0,3797.0,84592.0,84592.0
TwinkleTwinkleLittleStar,GPT-6 Astra,0,openai_twinkletwinklelittlestar_2hand_TwoHand_seed0,2,0.24016563146997927,410.9196335077286,509.77494209342535,0.24016563146997927,274502.0,8335.0,282837.0,367429.0
TwinkleTwinkleLittleStar,GPT-6 Astra,0,openai_twinkletwinklelittlestar_2hand_TwoHand_seed0,3,0.5962732919254659,512.041589975357,509.77494209342535,0.5962732919254659,353896.0,5146.0,359042.0,726471.0
TwinkleTwinkleLittleStar,GPT-6 Astra,0,openai_twinkletwinklelittlestar_2hand_TwoHand_seed0,4,0.7536231884057971,514.5575352907181,509.77494209342535,0.7536231884057971,456884.0,5573.0,462457.0,1188928.0
TwinkleTwinkleLittleStar,GPT-6 Astra,0,openai_twinkletwinklelittlestar_2hand_TwoHand_seed0,5,0.8322981366459627,541.4867662191391,509.77494209342535,0.8322981366459627,361213.0,3474.0,364687.0,1553615.0
TwinkleTwinkleLittleStar,GPT-6 Astra,0,openai_twinkletwinklelittlestar_2hand_TwoHand_seed0,6,0.8819875776397516,544.7959431409836,509.77494209342535,0.8819875776397516,306833.0,4235.0,311068.0,1864683.0
TwinkleTwinkleLittleStar,GPT-6 Astra,0,openai_twinkletwinklelittlestar_2hand_TwoHand_seed0,7,0.8944099378881988,545.773087978363,509.77494209342535,0.8944099378881988,453712.0,3977.0,457689.0,2322372.0
